cyrillic,meaning
ажоɣ̌,"мокнуть, намокнуть, размокать, намокать"
нижоɣ̌,"мокнуть, намокнуть, размокать, намокать"
андой,"вставать, подниматься"
индой,"вставать, подниматься"
андой,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
индой,"вставать, подниматься (с постели); просыпаться, пробуждаться (ото сна)"
андой,"уходить, покидать"
индой,"уходить, покидать"
андой,"отставать, отделяться, отходить, отлипать"
индой,"отставать, отделяться, отходить, отлипать"
андой,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
индой,"увеличиваться (об объеме, размере, количестве, уровне и т. д.)"
андой,"вырастать, подрастать (напр., о детях)"
индой,"вырастать, подрастать (напр., о детях)"
андой,"расти, вырастать; прорастать, появляться (о всходах растений)"
индой,"расти, вырастать; прорастать, появляться (о всходах растений)"
андой,"продвигаться по службе, идти в гору, делать карьеру"
индой,"продвигаться по службе, идти в гору, делать карьеру"
андой,"начинаться, возникать"
индой,"начинаться, возникать"
анҷов,"начинаться, идти (об осадках)"
инҷов,"начинаться, идти (об осадках)"
арах̌,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
аррах̌,"прыгать, подскакивать; тянуться (вверх); подниматься на дыбы"
арах̌,"бить ключом, струей; брызгать"
аррах̌,"бить ключом, струей; брызгать"
арах̌,"чваниться, пыжиться, задирать нос, зазнаваться"
аррах̌,"чваниться, пыжиться, задирать нос, зазнаваться"
бираδ,перестать питаться материнским молоком; бросить сосать (грудь)
виwоδ,"отказываться от еды, переставать есть"
вирах̌,"ломаться, разбиваться; раскалываться"
wижāв,возвращаться; поворачивать назад
wижӣв,возвращаться; поворачивать назад
wизаδ,"гаснуть, угасать, потухать"
wизоδ,"гаснуть, угасать, потухать"
wиров,"вставать, останавливаться; быть вставшим, стоять (*в формах перфектной серии*)"
wиров,отставать (напр. в развитии); ослабевать; отцветать
wирой,расплетаться; распарываться
θаδ,гореть; сгорать; зажигаться
θоδ,гореть; сгорать; зажигаться
θаδ,обжигаться
θоδ,обжигаться
θаδ,пропадать (даром)
θоδ,пропадать (даром)
зоδ,нестись; телиться; ягниться; жеребиться; котиться; рождать (чаще о животных; о женщине – неодобр.)
зибаδ,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
зибоδ,"прыгать, скакать; бросаться, кидаться (прям. и перен.)"
зибаδ,"отваливаться, отскакивать; падать, валиться"
зибоδ,"отваливаться, отскакивать; падать, валиться"
зибаδ,"исчезать, пропадать; убегать"
зибоδ,"исчезать, пропадать; убегать"
зидах̌,"рваться, разрываться; ломаться; лопаться, трескаться (прям. и перен.)"
зидах̌,"валиться, обрушиваться"
зидах̌,"распускаться, перестать владеть собой"
зидах̌,"спадать, утихать"
зидах̌,"заканчиваться, кончаться"
зийах̌,"вянуть, высыхать, засыхать, выгорать"
моɣ̌,"умирать, кончаться; погибать; испускать дух, подыхать"
моɣ̌,"выбиваться из сил, обессиливать, уставать"
моɣ̌,"помалкивать, сидеть тихо, не шуметь, замирать"
моɣ̌,"влюбляться по уши, сохнуть по кому-л."
нарфāδ,выдернуться; вывихнуться
нах̌фāδ,выдернуться; вывихнуться
них̌фāδ,выдернуться; вывихнуться
наɣ̌ҷāδ,проходить; переходить (в разн. знач.); миновать
наɣ̌ҷāδ,"проходить, миновать (о времени)"
наɣ̌ҷāδ,"обходить, превосходить (в чем-л.)"
ниδāв,"прилипать, приклеиваться, приставать"
ниδов,"прилипать, приклеиваться, приставать"
ниδāв,"приставать, задираться; сцепиться в схватке, драке"
ниδов,"приставать, задираться; сцепиться в схватке, драке"
ниδāв,"начинать (что-л. делать), приступать к чему-л., приняться за что-л."
ниδов,"начинать (что-л. делать), приступать к чему-л., приняться за что-л."
нос,"сидеть; садиться, усаживаться; быть сидящим, сидеть (*в формах перфектной серии*)"
нош,"сидеть; садиться, усаживаться; быть сидящим, сидеть (*в формах перфектной серии*)"
нос,"ждать (сидя, стоя), поджидать (часто с предлогом *пи*)"
нош,"ждать (сидя, стоя), поджидать (часто с предлогом *пи*)"
нос,"оставаться; пребывать, проживать, останавливаться (на постой)"
нош,"оставаться; пребывать, проживать, останавливаться (на постой)"
нос,"садиться, опускаться (с высоты), приземляться"
нош,"садиться, опускаться (с высоты), приземляться"
нос,"приминаться, уминаться"
нош,"приминаться, уминаться"
нихайс,"спадать, уменьшаться (об опухоли и т. п.)"
нихах̌,"разрушаться, обваливаться"
рихах̌,"разрушаться, обваливаться"
нихах̌,спускаться; опускаться
рихах̌,спускаться; опускаться
парwах̌,соскальзывать (с меха при плавании)
парwах̌,"касаться, вмешиваться, интересоваться"
пархах̌,болеть повторно (рецидив болезни)
пирхах̌,болеть повторно (рецидив болезни)
пиδāв,"липнуть, клеиться, прилипать"
пиδов,"липнуть, клеиться, прилипать"
пиδāв,"приставать (о заразе, болезни), заражаться"
пиδов,"приставать (о заразе, болезни), заражаться"
пиδāв,"драться, сцепляться"
пиδов,"драться, сцепляться"
пиδāв,"начинать, приступать (чаще с кратким инфинитивом)"
пиδов,"начинать, приступать (чаще с кратким инфинитивом)"
паδ,портиться; гнить; тлеть
поδ,портиться; гнить; тлеть
паδ,свертываться (о молоке)
поδ,свертываться (о молоке)
паδ,чернеть; покрываться синяками
поδ,чернеть; покрываться синяками
пирос,"рваться, разрываться"
пирос,"протекать; капать; просачиваться, прорываться (о воде)"
пирос,"проходить, прекращаться"
пармоɣ̌,"вянуть, увядать; сохнуть"
пирмоɣ̌,"вянуть, увядать; сохнуть"
пармоɣ̌,терять силы; слабеть; становиться вялым
пирмоɣ̌,терять силы; слабеть; становиться вялым
пишаδ,"утешаться; развлекаться, отвлекаться, заниматься чем-л."
пишоδ,"утешаться; развлекаться, отвлекаться, заниматься чем-л."
ривоδ,"отдавать молоко, доиться"
ривоδ,опускаться (о губах при плаче)
риwах̌,"летать; улетать, взлетать"
рацош,"бежать; убегать, сбегать"
рицош,"бежать; убегать, сбегать"
саδ,"идти, ехать, отправляться; доходить (до предела)"
соδ,"идти, ехать, отправляться; доходить (до предела)"
саδ,"становиться, делаться, превращаться"
соδ,"становиться, делаться, превращаться"
саδ,"быть, происходить, случаться"
соδ,"быть, происходить, случаться"
саδ,"появляться, возникать; рождаться"
соδ,"появляться, возникать; рождаться"
саδ,"водиться, встречаться; произрастать"
соδ,"водиться, встречаться; произрастать"
саδ,"получаться, выходить"
соδ,"получаться, выходить"
саδ,"наступать, исполняться; проходить"
соδ,"наступать, исполняться; проходить"
саδ,"быть, приходиться кем-л. кому-л."
соδ,"быть, приходиться кем-л. кому-л."
саδ,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
соδ,"(с предлогом тар) походить на кого-либо, удаваться в кого-либо"
саδ,попадать
соδ,попадать
саδ,"деваться, пропадать"
соδ,"деваться, пропадать"
саδ,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
соδ,"вспомогательный глагол сложноименных глаголов с непереходным значением (противоп. кин: чӯд, δāδ:δод)"
саδ,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
соδ,"вспомогательный глагол в начинательных конструкциях с кратким инфинитивом или именем глагольного значения (обычно в сочетании со служебными словами дар, дараw, чи, пай, даwу̊м)"
саδ,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
соδ,(редко) вспомогательный глагол в составе сложноименных глаголов с переходным значением
саδ,тк. в форме су́т-ат(ā) (подчинительный союз) если
соδ,тк. в форме су́т-ат(ā) (подчинительный союз) если
сираδ,"отделяться, выделяться"
сироδ,"отделяться, выделяться"
сираδ,сворачиваться (о молочных продуктах)
сироδ,сворачиваться (о молочных продуктах)
сираδ,"перестать сосать грудь, отказываться от груди"
сироδ,"перестать сосать грудь, отказываться от груди"
ситāв,"жариться, поджариваться"
ситов,"жариться, поджариваться"
ситāв,"испытывать жажду, хотеть пить"
ситов,"испытывать жажду, хотеть пить"
ситāв,"горевать, огорчаться, убиваться"
ситов,"горевать, огорчаться, убиваться"
сифāδ,подниматься
сифоδ,подниматься
сифāδ,достигать какого-л. уровня
сифоδ,достигать какого-л. уровня
сифāδ,"преуспевать, расти (в должности)"
сифоδ,"преуспевать, расти (в должности)"
тах̌,драться
той,"идти; ходить, ездить; отправляться, уезжать, улетать"
той,"иметь течь, течь"
той,"идти, течь, струиться (о потоке и т. п.)"
той,"исходить, распространяться"
той,ходить (о часах)
той,идти (о времени)
той,дуть (о ветре)
той,входит в состав ряда сложноименных глаголов
фираδ,"прополаскиваться начисто, отмываться"
фироδ,"прополаскиваться начисто, отмываться"
циров,"саднить, щипать, нащипывать, гореть, жечь, болеть"
циров,"горевать, тосковать, печалиться; скорбеть"
ғибах̌,"кончаться, заканчиваться (о вязании)"
ғибах̌,прекращать рост; оставаться на одном и том же уровне
ваδ,"быть, существовать; быть в наличии, иметься"
воδ,"быть, существовать; быть в наличии, иметься"
ваδ,"быть, находиться, присутствовать"
воδ,"быть, находиться, присутствовать"
ваδ,"быть, происходить, случаться"
воδ,"быть, происходить, случаться"
ваδ,(тк. перфектная форма) 3-е л.: оказывается
воδ,(тк. перфектная форма) 3-е л.: оказывается
ваδ,"(глагол-связка) быть, являться"
воδ,"(глагол-связка) быть, являться"
ваδ,употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
воδ,употребляется как вспомогательный глагол в описательном преждепрошедшем перфекте
аwой,"ложиться, укладываться, разваливаться (чаще о животных)"
аɣ̌ой,"ложиться, укладываться, разваливаться (чаще о животных)"
аwой,"никнуть к земле, стелиться (о растениях)"
аɣ̌ой,"никнуть к земле, стелиться (о растениях)"
аwой,"рассаживаться, разваливаться (о человеке)"
аɣ̌ой,"рассаживаться, разваливаться (о человеке)"
биδāв,"закрываться (напр., о глазах, рте)"
биδов,"закрываться (напр., о глазах, рте)"
нах̌той,"выходить (в разн. знач. извне, откуда-л., из чего-л.)"
нах̌той,"возникать, появляться, объявляться"
нах̌той,"объявляться, заявляться, прибывать"
нах̌той,добираться
нах̌той,выходить из печати
нах̌той,"выходить, получаться в итоге (при подсчете, взвешивании)"
нах̌той,"оказываться, обнаруживаться"
нах̌той,"оканчиваться, проходить, быть на исходе (о времени)"
нах̌той,уходить (от мужа)
андой,"вставать, подниматься"
аррах̌,"подниматься, стараться подняться, силиться подняться; вытягиваться в высоту, подниматься на дыбы"
биδов,закрываться (о глазах)
моɣ̌,умирать
нах̌фāδ,"вывихиваться, выдергиваться"
нах̌то́й,выходить
наɣ̌ҷāδ,"переходить, проходить"
ниδо́в,"прилепляться, приклеиваться, приставать"
паδ,"гнить, портиться, тлеть"
пиδов,"начинать, приниматься за..., приставать к..."
пирос,"рвать, разрывать"
пирош,"рвать, разрывать"
писаδ,"утешаться, затихать"
рицос,убегать
риwах̌,летать
саδ,"отправляться, идти, уходить, уехать, уезжать"
сифāδ,подниматься
тах̌,драться (преимущественно о собаках и др. животных)
той,"идти, ехать"
ваδ,быть
вирах̌,"ломаться, разбиваться"
wиров,"вставать, стоять"
х̌ицоδ,"мерзнуть, замерзать"
х̌икаф,"расцветать, распускаться"
зибаδ,прыгать
зидах̌,"рваться, ломаться"
зийах̌,"увядать, засыхать"
θаδ,"гореть, зажигаться"
саδ,"делаться, становиться"
